iter	Passed	Remaining
0	70	211151
1	72	108597
2	74	74345
3	77	57356
4	79	47100
5	81	40365
6	83	35447
7	85	31868
8	87	29012
9	89	26701
10	92	24854
11	94	23283
12	96	21965
13	98	20779
14	100	19801
15	102	18941
16	104	18177
17	106	17498
18	108	16891
19	110	16355
20	112	15866
21	114	15434
22	116	15020
23	118	14648
24	120	14274
25	122	13926
26	124	13652
27	126	13379
28	128	13120
29	130	12874
30	132	12631
31	134	12422
32	136	12229
33	139	12047
34	141	11888
35	143	11718
36	145	11578
37	147	11420
38	149	11282
39	151	11154
40	153	11026
41	155	10898
42	157	10777
43	159	10665
44	161	10561
45	163	10459
46	166	10361
47	168	10273
48	170	10179
49	172	10091
50	174	10010
51	176	9924
52	178	9838
53	180	9759
54	182	9702
55	184	9638
56	186	9560
57	188	9487
58	190	9412
59	192	9354
60	194	9287
61	195	9220
62	197	9163
63	199	9109
64	201	9050
65	203	8999
66	205	8948
67	207	8892
68	209	8849
69	211	8798
70	213	8762
71	216	8725
72	218	8688
73	220	8648
74	222	8605
75	224	8569
76	226	8527
77	228	8497
78	230	8456
79	232	8428
80	234	8405
81	236	8374
82	239	8343
83	240	8307
84	242	8270
85	244	8235
86	246	8200
87	248	8167
88	250	8142
89	252	8109
90	254	8083
91	256	8053
92	258	8025
93	260	8002
94	262	7981
95	264	7955
96	266	7926
97	268	7900
98	270	7872
99	272	7848
100	274	7821
101	276	7792
102	278	7772
103	280	7750
104	282	7728
105	284	7709
106	286	7686
107	288	7672
108	290	7650
109	292	7633
110	294	7614
111	296	7594
112	298	7584
113	301	7567
114	303	7552
115	305	7535
116	307	7512
117	309	7495
118	311	7478
119	313	7463
120	315	7451
121	318	7454
122	320	7437
123	322	7421
124	324	7408
125	326	7394
126	328	7375
127	330	7366
128	332	7352
129	334	7338
130	336	7320
131	338	7302
132	340	7284
133	342	7266
134	344	7251
135	346	7238
136	348	7227
137	350	7216
138	352	7204
139	354	7192
140	356	7180
141	358	7164
142	360	7149
143	362	7140
144	364	7128
145	366	7113
146	368	7102
147	370	7097
148	372	7085
149	375	7079
150	377	7067
151	379	7057
152	381	7047
153	383	7034
154	385	7021
155	387	7012
156	389	7000
157	391	6992
158	393	6985
159	395	6974
160	397	6965
161	399	6956
162	402	6947
163	404	6937
164	406	6930
165	408	6919
166	410	6909
167	412	6905
168	414	6895
169	416	6886
170	418	6881
171	421	6879
172	423	6876
173	425	6869
174	428	6862
175	430	6855
176	432	6849
177	434	6839
178	436	6830
179	438	6823
180	440	6816
181	442	6806
182	444	6799
183	446	6789
184	448	6781
185	450	6773
186	453	6766
187	454	6756
188	456	6748
189	459	6742
190	461	6735
191	463	6731
192	465	6725
193	467	6716
194	469	6710
195	472	6705
196	473	6695
197	476	6688
198	478	6682
199	480	6672
200	482	6665
201	484	6656
202	485	6646
203	487	6639
204	490	6634
205	492	6627
206	494	6620
207	496	6613
208	498	6604
209	500	6596
210	502	6589
211	504	6582
212	506	6576
213	508	6572
214	510	6567
215	512	6560
216	514	6553
217	516	6544
218	518	6541
219	520	6533
220	522	6527
221	524	6519
222	526	6512
223	528	6503
224	530	6500
225	532	6494
226	535	6488
227	536	6480
228	538	6474
229	540	6466
230	543	6464
231	545	6457
232	547	6450
233	549	6444
234	551	6438
235	553	6430
236	554	6421
237	556	6416
238	558	6409
239	560	6402
240	562	6395
241	564	6389
242	567	6388
243	569	6382
244	571	6376
245	573	6371
246	575	6368
247	577	6364
248	579	6360
249	582	6355
250	583	6349
251	586	6344
252	588	6337
253	590	6333
254	592	6327
255	594	6322
256	596	6318
257	598	6310
258	600	6308
259	602	6303
260	604	6296
261	606	6291
262	608	6289
263	610	6284
264	612	6278
265	615	6276
266	617	6270
267	618	6263
268	620	6258
269	622	6252
270	625	6249
271	627	6244
272	629	6237
273	630	6230
274	632	6226
275	634	6220
276	636	6213
277	639	6210
278	640	6204
279	643	6202
280	645	6198
281	647	6194
282	649	6190
283	651	6183
284	653	6179
285	655	6173
286	657	6169
287	659	6164
288	661	6159
289	663	6152
290	665	6146
291	667	6142
292	669	6136
293	671	6132
294	673	6127
295	675	6122
296	677	6119
297	679	6115
298	681	6110
299	683	6105
300	685	6103
301	687	6098
302	689	6093
303	691	6089
304	694	6086
305	696	6082
306	698	6077
307	700	6073
308	701	6066
309	703	6061
310	706	6061
311	708	6059
312	710	6054
313	712	6051
314	714	6047
315	717	6045
316	719	6040
317	721	6037
318	723	6034
319	725	6031
320	727	6027
321	729	6023
322	731	6019
323	733	6015
324	735	6010
325	738	6008
326	740	6003
327	742	6000
328	743	5994
329	745	5990
330	747	5985
331	749	5979
332	752	5980
333	754	5974
334	756	5972
335	758	5967
336	760	5965
337	762	5961
338	764	5957
339	766	5953
340	768	5949
341	770	5945
342	772	5941
343	775	5938
344	777	5936
345	779	5932
346	781	5928
347	783	5923
348	785	5921
349	787	5918
350	789	5916
351	792	5913
352	793	5907
353	795	5903
354	797	5899
355	799	5895
356	801	5892
357	804	5889
358	806	5886
359	808	5882
360	810	5880
361	812	5875
362	814	5871
363	816	5867
364	818	5863
365	820	5859
366	822	5855
367	824	5849
368	826	5845
369	828	5841
370	830	5837
371	831	5832
372	833	5827
373	836	5825
374	838	5823
375	840	5821
376	842	5817
377	844	5813
378	846	5809
379	848	5805
380	850	5800
381	852	5797
382	854	5793
383	856	5789
384	858	5785
385	860	5781
386	862	5779
387	864	5774
388	866	5769
389	868	5766
390	870	5763
391	872	5761
392	874	5758
393	876	5753
394	878	5749
395	880	5745
396	882	5742
397	884	5739
398	886	5734
399	888	5731
400	890	5727
401	892	5724
402	894	5720
403	896	5716
404	898	5711
405	900	5710
406	903	5712
407	905	5708
408	907	5704
409	909	5699
410	911	5694
411	913	5692
412	915	5689
413	917	5685
414	919	5681
415	921	5678
416	923	5675
417	925	5673
418	927	5668
419	929	5665
420	931	5661
421	933	5657
422	935	5656
423	937	5653
424	939	5650
425	941	5646
426	943	5642
427	946	5641
428	947	5636
429	950	5634
430	952	5632
431	954	5629
432	956	5628
433	958	5625
434	961	5622
435	963	5619
436	964	5615
437	966	5611
438	968	5608
439	971	5606
440	973	5604
441	975	5602
442	977	5597
443	979	5594
444	981	5590
445	983	5586
446	985	5583
447	987	5580
448	989	5577
449	991	5574
450	993	5571
451	995	5568
452	997	5564
453	999	5560
454	1001	5558
455	1003	5555
456	1005	5552
457	1007	5549
458	1009	5546
459	1012	5544
460	1013	5540
461	1015	5536
462	1017	5533
463	1020	5531
464	1022	5530
465	1024	5527
466	1026	5523
467	1028	5520
468	1030	5517
469	1032	5514
470	1034	5512
471	1037	5510
472	1038	5506
473	1040	5502
474	1042	5499
475	1044	5497
476	1047	5495
477	1049	5492
478	1051	5490
479	1053	5487
480	1056	5486
481	1057	5482
482	1059	5479
483	1061	5475
484	1063	5471
485	1065	5467
486	1067	5465
487	1069	5462
488	1072	5460
489	1074	5458
490	1076	5455
491	1078	5452
492	1080	5450
493	1082	5449
494	1084	5446
495	1087	5444
496	1088	5440
497	1091	5437
498	1092	5433
499	1094	5430
500	1097	5428
501	1098	5424
502	1100	5421
503	1102	5418
504	1105	5417
505	1107	5414
506	1109	5412
507	1111	5409
508	1113	5405
509	1115	5402
510	1117	5400
511	1120	5398
512	1122	5396
513	1124	5392
514	1126	5390
